Category,Choline,Vitamin B3,Vitamin B5,Vitamin B2,Selenium,Vitamin B1,Vitamin B12,Vitamin B6,Retinol,Water,Monosaturated Fat,Polysaturated Fat,Saturated Fat,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,.Zinc,Vitamin C,Vitamin E,Vitamin K
CHEESE SUB,14,0.317,0.083,0.444,19.2,0.026,0.81,0.051,437,47.36,6.243,1.738,3.711,610,0.4,41,583,455,685,1.92,0.1,0.11,1
No Category,0,0.19,0.233,0.196,9,0.027,0.83,0.055,107,61.61,3.563,0.484,8.721,476,0.39,23,306,105,132,1.96,0,0,0
CHEESE SAU,0,0.204,0.233,0.243,6.6,0.044,0.35,0.045,163,66.86,4.735,1.397,8.034,311,0.35,19,229,142,493,1.26,0.6,0,0
CHEESE,15,0.032,0.252,0.209,14.5,0.02,1.38,0.047,54,38.06,8.528,0.901,19.033,680,0.47,28,444,87,1131,2.94,0,0.26,2.5
CHEESE,15,0.181,0.231,0.223,14.5,0.021,1,0.053,55,42.16,8.038,0.85,17.939,661,0.51,26,443,86,655,3.02,0,0.24,2.4
CHEESE,15,0.15,0.279,0.225,14.5,0.018,1.03,0.055,56,39.13,8.443,0.892,18.843,651,0.47,23,442,52,617,3.5,0,0.26,2.5
CHEESE,15,0.051,0.183,0.221,14.5,0.012,0.49,0.045,60,63.1,2.082,0.222,4.342,415,0.42,16,484,66,612,1.82,0,0.06,0.6
CHEESE,15,0.086,0.311,0.375,14.5,0.021,0.83,0.076,257,38.98,9.189,0.972,20.768,703,0.72,27,484,112,21,3.09,0,0.28,2.7
EGG,0,0.075,1.48,0.46,30.8,0.06,1.07,0.162,158,75.85,3.886,1.412,3.147,59,1.85,11,202,130,133,1.38,0,0,0
EGG,0,0.1,0.155,0.4,17.6,0.005,0.06,0.004,0,88.55,0,0,0,7,0.05,10,13,136,158,0.02,0,0,0
EGG,0,0.865,0.775,2.53,125.1,0.005,0.18,0.036,0,5.8,0,0,0,62,0.15,88,111,1125,1280,0.1,0,0,0
SOUR CREAM,19,0.07,0,0.24,4.1,0.04,0.3,0.02,117,71,4.1,0.5,8.7,141,0.06,11,85,211,70,0.27,0.9,0.4,0.7
SOUR CREAM,19,0.07,0,0.12,3.1,0.04,0.42,0.02,88,78.1,3.1,0.4,6.6,141,0.07,10,71,212,71,0.5,0.9,0.3,0.5
SOUR CREAM,19,0.07,0,0.15,5.3,0.04,0.3,0.02,72,80.6,0,0,0,125,0,10,95,129,141,0.5,0,0,0
USDA COMMODITY,15,0.06,0,0.3,15.5,0.03,1.66,0.084,142,48.2,5.02,0.75,11.6,905,0.13,35,583,93,725,4.3,0,0.16,1.5
YOGURT,15,0.086,0,0.162,3.1,0.034,0.43,0.037,0,87.43,0.049,0.005,0.116,143,0.12,13,109,177,59,0.67,1.1,0,0
PARMESAN CHS TOPPING,15,0.2,0,0.05,43.3,0.05,1.1,0.1,39,8.6,1.446,0.186,3.11,800,5,40,700,600,1150,3,0,0.04,0.4
CHEESE,65,0.23,0.84,0.265,4.9,0.04,0.95,0.05,10,71.87,0.25,0.057,0.644,351,0.19,22,523,278,702,1.5,0,0.02,0.2
YOGURT,15,0.223,0,0.215,7,0.047,0.5,0.047,0,71.57,0,0,0,88,0.42,40,166,339,135,1.13,0,0,0
No Category,0,0,0,0.24,0,0,0,0,0,51.5,0,0,13.1,359,0.19,0,806,240,1638,1.64,0.4,0,0
